Reference,Value,Footprint,MFT,MNP,Description
B1,220V/50W,SAMPI:LAMP_6.35MM,OEM,1609954437_VNAMZ-6936739394,HALOGEN LAMP 220V/50W
BR1,400V/10A,SAMPI:GBJ25xx,SMC,GBJ2510,BRIDGE RECT 1PHASE 1KV 25A GBJ
"C1,C23",470uF/35V,SAMPI:CAP_ELEC-10.3x10.3-DIA10,KYAVX,APD1012471M035R,CAP ALUM POLY 470UF 20% 35V SMD
"C2,C17,C25,C26,C31",10uF/35V,SAMPI:CAP1206,Murata,GRT31CR6YA106ME01L,CAP CER 10UF 35V X5R 1206
"C3,C12,C18,C27",10uF,SAMPI:CAP0603,Samsung,CL10A106MQ8NNNC,CAP CER 10UF 6.3V X5R 0603
"C4,C5,C7,C20,C21,C22,C28,C29",100nF,SAMPI:CAP0603,Samsung,CL10B104KB8NNNC,CAP CER 0.1UF 50V X7R 0603
"C6,C19",100nF/400V,SAMPI:CAP_FILM_6.0x12.0x12.5-P10,VISHAY,BFC233824104,CAP FILM 0.1UF 20% 560VDC RADIAL
"C8,C14",1uF/400V,SAMPI:ECWFE2W105,Panasonic,ECW-FE2W105K,CAP FILM 1UF 10% 450VDC RADIAL
"C9,C11,C13,C15",100pF/2kV,SAMPI:CAP1206,WE,8.85342E+11,CAP CER 100PF 2000V X7R 1206
C10,220uF/25V,SAMPI:CAP_ELEC-8.3x8.3-DIA8.0,Panasonic,EEH-ZL1E221XP,CAP ALUMHYB 220UF 20% 25V SMD
C16,680uF/450V,SAMPI:ESMQ451VSN681MA50S,Chemi-Con,ESMQ451VSN681MA50S,CAP ALUM 680UF 20% 450V SNAP
C24,470uF/16V,SAMPI:CAP_ELEC-8.3x8.3-DIA8.0,KEMET,A768KS477M1CLAE017,CAP ALUM POLY 470UF 20% 16V SMD
C30,220uF/6.3V,SAMPI:CAP1411,KAVX,TLJB227M006R0500,CAP TANT 220UF 20% 6.3V 1411
